제목,내용,평점,좋아요 수
잠,"신창섭이 생각나는 다 해주는 남자
인생 연기를 위해 결국 메소드가 되는 남자",3.5,6
와니와 준하,"중의적인 표현들과 사건들로 점철된 영화.
그 내용들과 전개가 섬세하게 진행되어 마음을 간질인다.
2000년대 초 한국영화의 낭만을 또 한번 느끼게 해주는 영화.
9n년생 출생으로 이 시기의 영화들을 나의 추억과 함께 즐길 수 있음에 감사한다.",4.5,12
퍼펙트 데이즈,무수히 비슷한 나날들 속 간간히 달라짐을 느끼는 순간들을 즐기는 방법을 아직 배워가는 중이기에,4.0,10
첨벙,기존 목표에 실패했던 원인이 새로운 목표의 성공 사유가 되었을 때의 아이러니.,4.0,11
해밀턴,"린 마누엘 미란다에 의해 전달된 해밀턴의 이야기.
미친 퀄리티의 힙합 뮤지컬.
진보 보수를 막론하고 미국인 전부가 즐길 것같은 뮤지컬.",4.5,6
나미비아의 사막,"언제 사라질 지 모르는, 혹은 금방 사라질 것이 뻔해보이는 유일한 안식처에서 가지는 잠깐의 평화로운 시간.
풍전등화 속 깊어지는 불안감.",3.0,8
달팽이 농구단,"좋은 주제, 좋은 배우, 아쉬운 연출",2.0,10
위키드,올해의 의상과 미술은 따놓은 당상이다,4.5,11
라디오 스타,수십년간 과거의 영광에서 오는 자존심 하나로 버텨온 사람이 자존심을 버린 단 하나의 이유.,4.0,13
"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?","누군가의 후회로 가득한 과거 어느 날의 해피엔딩을 위해.
+ 30년 전 영화임을 감안하고 감상
++ 캐스팅은 미스인 듯 하지만 그 당시 그 남자 아이에게 보여졌던 좋아하는 여자의 모습을 콩깍지로 표현한 게 아닐까 싶음 (어른의 사랑을 어렴풋이나마 느끼게 해준 상대방을 기억하는 방법 혹은 추억이 아닐까)",3.0,8
엄마와 뻐꾸기 시계,자식을 잃은 슬픔은 대체할 단어가 없다,3.5,6
오목어,지식을 갈구하다 점점 작아지는 나를 보며,4.0,11
프레임 속의 기억들,"방울이의 심정을 직접 알아보기 위해 넓은 들판을 뛰어노는 꿈을 꾸고 집 밖을 뛰어나가본다.
좁은 집을 나와 얼마나 맘껏 달려보고 싶었을 지 짐작이 된다.
방울이가 원하는 곳에서 살면 좋겠다 싶으면서도 내심 나랑 놀기 위해 다시 돌아와주면 좋겠다.
.
라고 생각하지 않았을까?",3.5,12
퀴어영화를 찍는 초보감독을 위한 지침서,초보에게 초보가,2.0,11
고양이를 부탁해,사회에 나와 다른 시선으로 뛰어든 사회 속 지극히 현실을 빼다 박은 듯한 영화. 씁쓸한 청춘.,3.5,12
나도 아내가 있었으면 좋겠다,서른 즈음의 풋사랑,4.0,11
플란다스의 개,자잘하고도 세밀하게 치고 들어오는 소소한 플롯 트위스트들.,4.0,13
대도시의 사랑법,"틀림과 다름 그 사이에서 펼쳐지는 이야기.
주인공들을 돋보이기 위해 과다하게 분포된 대척점의 빌런들.
포스터와 예고편 그 어디에서도 미리 볼 수 없는 영화의 주제와 영화가 던지는 메시지.
영화의 내용을 모르고 볼 관객들이 이 영화를 대하는 태도가 사뭇 궁금하다.
+ 와중에 돋보이는 김고은의 연기",3.0,17
대부,"과부가 되는 것이 가정폭력을 일삼는 남편과 함께하는 것보다 싫었던 시대상 속 영화.
마지막 시퀀스의 보스로서의 마이클과 남편으로서의 마이클의 모습이 한번에 보이는 순간의 여운은 오래갈 것 같다.
확실히 클래식 영화들은 결말에 한방이 있다.",4.0,10
스턴트 더블,세로 포맷에서도 변하지 않는 영화 덕후의 영화 사랑 스턴트편,4.0,7
조커: 폴리 아 되,"불쌍하고 연민 넘치고 자기반성을 할 줄 아는 조커는 제2의 조커맨이 처리했으니 관객분들은 건실하게 사세요~
과몰입 방지 씨게 주입시키는 조커의 속편.
솔직히 1편이 너무 매력적이었기에 내심 아쉬운.
조커와 플렉이 하나로 동기화 된 후에 더 멋있는 조커가 나오는 것을 내심 기대한 내가 반성을 해야하는 걸까?
라고 생각하게 만드려는 감독의 뜻이 보여서 좀 괘씸해졌다",3.0,10
범죄도시4,"‘아는 맛, 진부한 맛, 똑같은 맛’이라는 소리를 들어도 찾게되는 맛
팝콘무비로서 이만한 영화는 아직 없다는 생각이 들게되는 영화
아무리 짜쳐도 쉽고 재밌고 통쾌하면 장땡인 영화가 목적이었다면 목표달성인 영화
한국 경찰의 실제 업적을 섞어 보여주고 흥행도 얼추 보장되어 있으니 돈 지원받아 만들기도 좋은 영화
내가 제작자고 감독이어도 계속 시리즈로 만들수밖에 없는 영화",3.5,10
니가 본 영화는 다 보기 싫어,"영화란 결국 상호주관성에 의해 만들어지는 것.
수많은 의견들 안에서 여러 수용과 비판을 거쳐 확신을 가진 채 중심을 잡아 마침내 좋은 작품을 탄생시키는 것이 연출감독의 이상이자 목표.
영화를 만듦에 있어 항상 말도 안되는 사건사고들이 비일비재하게 일어나고 스탭들 간의 의견충돌은 난무하지만 해소하는 방법은 의외로 단순할 수 있다.
자기 자신만의 영화를 만드는 모든 감독들이 힘을 내기를 바란다.",4.0,9
우리의 20세기,"어느 시대에서도 세대 갈등은 존재하고, 변화는 이루어진다. 그들의 20세기를 통해 보는 우리의 21세기.",3.0,7
프란시스 하,"웬종일 나 자신을 주체 못해 뛰쳐다니던 망아지가 오히려 새로운 환경에 적응하자 과거 뛰쳐다녔을 때의 장기를 발휘하게 되는 아이러니.
적어도 그녀는 눈 앞에 있는 모든 일에 최선을 다 했다",3.5,8
원더,"스트레스 받지 않고 편안하게 볼 수 있는 힐링 무비
아이들은 그럴 수 있지만 어른들은 그러면 안 되지",4.5,8
장손,"구전으로 잠깐 등장하는 옛 이야기와 새로 태어난 아이까지 한국의 5세대 이야기가 담긴 영화.
그 속에서 장손이란 대체 무엇이길래…",4.5,13
타오르는 여인의 초상,"한번 피어나면 걷잡을 수 없이 타오르는 불씨.
잔잔히 오래도록 남아있을 다 타버린 장작의 그을린 향기.",4.5,10
사랑할 땐 누구나 최악이 된다,인간이 외로움을 해소하기 위해 누군가와 삶을 나누는 데 있어 둘의 세상은 완벽할 수 없고 계획대로 완전히 이루어질 수 있는 건 없다. 끝끝내 외로움을 떨쳐내고 혼자가 된 율리에가 짓는 미소에서 보이는 많은 감정들.,3.5,6
스크래퍼,"응원하고 싶은 사람들의 이야기지만, 너무 많은 노력이 필요해 보이는 두 사람. 영리한 포기자가 되지 않기를.",3.5,8
공기인형,"15년 전 만들어진 일본영화에서 맡을 수 있는
2024년의 대한민국의 지독하고도 고독한 냄새",3.0,6
미지근하게,뮤직비디오,2.0,5
디스크 조각 모음,온전한 내 이야기를 담은 오리지널이라 믿었던 것이 내 삶 깊이 자리잡고 있었던 너에 대한 오마주였던 것임을 알게 되었을 때.,3.5,5
예수 lived in a motel room,발랄하고 호기심 가득 자극했던 시작에 비해 아쉬운 서사,2.5,5
바깥은,"20대 초, 울타리를 벗어나기 직전에 가지는 공감가는 고민과 좋은 음악, 아쉬운 기술적 완성도",3.0,5
저 ㄴ을 어떻게 죽이지?,독창적인 세계관에 비해 아쉬운 반전 집착,3.0,5
세기말의 사랑,맞지 않은 옷을 입은듯한 삐걱거림 속 최선을 다해 소화해내는 배우들의 연기,2.5,7
헨젤: 두 개의 교복치마,고치고 좋아지고 나아질 수 있다는 것이 얼마나 희망적인 이야기인지,3.5,14
메이 앤 준,일본에서 이루어지는 한여름 낮의 판타지아,2.5,8
"디-데이, 프라이데이",여전히 유랑하는 흔적들 사이에서 각자의 다른 입장으로 살아가야 함에,4.0,13
겨울왕국 2,나도 더이상 동심을 온전히 즐기지 못하는 나이가 되어가는 것 같다,3.5,10
냉정과 열정 사이,"오랜만에 머리보다 가슴이 먼저 움직이는 영화를 보았다.
단 한명, 운명의 상대를 찾았지만 이루어지지 못한 상황에 기적과도 같은 노력으로 정말 기적을 불러왔을 때.",5.0,8
파이란,"누군가의 필요로 인한 의도치 않은 호의가
누군가에겐 그 무엇보다도 소중한 것일 수 있음에.
절망 속 단 하나의 희망이었음을.",4.5,6
빽 투 더 퓨쳐,"영화가 개봉한지 40년 가까이 지나고 봤지만
여전히 타임리프 영화들은 이 영화의 공식을 따라간다는 것을 알게 된다",4.0,6
렌트,"당장 내일의 내가 어떤 삶을 살아갈 지 모르겠지만
사랑은 하고싶어",3.0,11
타인의 삶,배경과 캐릭터들이 너무나도 확고해 물이 흐르듯 자연스럽게 전개되는 이야기,4.5,14
파묘,"뿌리깊은 친일 잔재를 파버리고 싶은 감독의 염원.
메시지 전달을 위한 너무 쉬운 설명은 내심 아쉬운.",4.0,10
쉘 위 댄스,우수에 찬 눈빛의 여인에게 끌려 춤이 좋아질 때까지.,3.5,8
여인의 향기,산전수전 겪을 수 있는 모든 일들을 다 겪을만큼의 경험 많은 한 노년 남성이 마지막으로 이루고자 한 버킷리스트를 앞두고 새로운 리스트를 만들어준 건 새로 사귄 인연의 어린 학생이었다.,4.5,8
귀로,공포에 대한 이해와 집중공략의 깔끔함,3.0,8
택시 드라이버,혐오하는 것들로 가득찬 세상 속에서 혐오하는 것들로 채워가던 본인을 부정하기 위한 탈출구. 어쩌다 영웅이 되어버린 주인공.,3.5,5
비밀,두 개의 다른 종류의 사랑 속 하나를 온전히 택할 수 없는 고통.,4.0,7
아빠는 딸,나이에 따른 아버지와 딸의 유대와 사랑 이야기,2.5,5
퓨리오사: 매드맥스 사가,안야가 말아주는 화려한 액션씬과 카체이싱을 동반한 복수극,4.0,13
사망유희,갑작스레 세상을 떠난 이소룡을 기리기 위한 헌사,3.0,8
초록물고기,한국식 누아르 로맨스의 클래식,4.0,11
영웅본색,그 시절 의리와 낭만과 멋으로 완성된 누아르,4.0,13
듄: 파트2,"전작을 보고 다음 작품도 무조건 용아맥으로 봐야겠다는 다짐은 앞으로도 계속될 예정이다
이런 영화를 큰 화면과 웅장한 사운드로 체험하면서 온 몸으로 마주할 수 있다는 건 행복이다
스케일만 상업 오락 영화지 이건 그냥 철학 예술영화다",4.5,19
패스트 라이브즈,"인연이라는 단어를 사용하는 나라에 살고 있어서 몽글몽글 해지는 영화.
+ 유태오 배우님 한국어 진짜 많이 늘었다고 느낌에도 토종 한국인만의 어투와는 조금 달라서 느껴지는 위화감이 아쉬웠다. 근데 해외 관객들은 절대 어눌하다고 느끼지 못할 정도였음.",4.0,25
복수는 나의 것,조용하고도 파격적이며 끊임없이 다가오는 복수를 위한 살인들.,4.5,15
비열한 거리,"비열하고 또 저급한, 밑바닥에 추락하는 건달 인생.
죽을 때까지 남을 진심으로 믿지 못할 자들의 의리라 부르는 것과 배신.
(현재와 많이 다른 당시 사회 시대상을 어렴풋이 적용하여 관람함)",4.0,13
골드맨 V 실버맨,무엇을 위하여 경쟁하는가,3.0,12
천장지구,"멋과 낭만, 서로에 대한 새로움으로 사랑에 빠진다는 흔하지만 많은 이들을 공감하고 각자의 추억과 로망을 떠올리게 했을 영화.
지금 보면 굉장히 폭력적이고 그냥 스톡홀름 증후군을 잘 포장한 느낌.",3.5,13
캐스트 어웨이,"그는 더 이상 나아갈 방향이 어딘지 모르지만
그 어느 곳으로도 갈 수 있다는 것 또한 안다
알 것이다",4.0,14
이처럼 사소한 것들,킬리언 머피가 주인공으로 나오는 베를린 국제영화제 개막작 선정작,보고싶어요,26
클로이,좋아하는 취향의 영화는 아니지만 불안심리를 잘 다룬 영화. 영화가 끝날 때까지 클로이가 어떤 선택을 할 지 따라가는 재미가 있었다.,3.5,15
타락천사 리마스터링,"4명의 인물들, 4개의 외로움들.
각각의 외로움이 만나 어떻게 발현될 지 모르는 시너지",3.0,14
추락의 해부,"대외적으로는 유희거리와 하나의 쇼로 소비되는 개인사,
내부적으로는 진실을 찾아가는 과정 속 보이는 가정폭력과 가스라이팅.
그 속에서 진실과 평안 속 선택의 기로에 놓이는 한 소년.
피아노는 끝날때까지 조율되지 못한 채 남아있다.",4.5,19
스파이더맨: 어크로스 더 유니버스,애니메이션이 보여줄 수 있는 상상력을 비롯한 좋은 이야기들의 모든 것,5.0,14
사브리나,고전의 로맨스는 이런 것,3.5,11
뮤지컬 레드북,"민경아 버전으로 보게 된 레드북.
팬심으로 보았지만 너무 좋아서 놀랐다.
한국 창작 뮤지컬에도 안정적이고 확실한 공식이 세워지고 있는 듯 하다.",4.0,11
레베카,"레베카라는 좋은 뮤지컬은 이미 이 영화에서 거의 완성되어 있었다.
댄버스 부인이 닿는 그 모든 곳에서 영향력을 행사하는 레베카.",4.5,13
인사이드 르윈,"나는 처음부터 다 알고 있었지
거긴 그 무엇도 없다는 것을
그래 넌 두 눈으로 꼭 봐야만 믿잖아
기꺼이 함께 가주지
- 잔나비 ’외딴섬 로맨틱‘의 가사 중에서 -
.
+ 인생이 도돌이표라는 걸 알아도 끝내 놓을 수 없는 것이 있기에.",4.5,12
시네마 천국,"영화란, 어떤 이에겐 앞 날의 길라잡이였고, 어떤 이에겐 상업적 수단이었고, 어떤 이에겐 새로운 만남의 공간이었고, 어떤 이에겐 인생의 전부였다.
다른 여타 여가 활동이 부족했던 그 당시 영화라는 존재는 많은 사람들의 기억 속에서 크게 자리했을 것이라는 걸 어렴풋하게 느낄 수 있는 영화였다.
+ 주인공의 고민과 결핍을 누구보다 잘 알았던 참스승이 알려주는 마지막 정답으로 끝내는 엔딩이 훅 들어오는 영화.",4.5,18
패터슨,"매일 무던한 삶을 살아감에 낙담하지 않는 사람이라면.
그런 삶 속의 변주를 찾아 행복을 느낄 수 있는 사람이라면.
그런 세상을 나만의 언어로 다룰 수 있도록 해주는 무언가를 가진 사람이라면.",4.0,12
괴물,"케빈에 대하여와 더 헌트와 클로즈를 라스트 듀얼 전개 방식으로 고레에다 연출로 잘 엮은 영화.
주인공들에겐 오해들이 겹겹이 쌓이는 듯 보이지만, 그들 자신들이 타인에게 오해를 쌓일 만한 행동 또한 했기에.
영화와는 별개로 이제 영화라는 장르에서 오리지널을 가지기는 정말 힘들겠구나 라는 생각을 하게 되었다.",4.0,19
양지의 그녀,"결국은 남게 된 달콤하고도 쓰라린 흉터.
판타지기에 결말은 모두의 바람대로.",3.5,8
