제목,내용,평점,좋아요 수
사바타,리반크립은 악당으로 나와야 더 멋있다,3.0,5
자토이치: 혈소려,기구한 아기와 인연을 단칼에 베다,4.0,3
사쿠라다 문 밖의 변,역사는 돌고 도는 수레바퀴 속에 끝없는 배신과 암투,3.5,3
자토이치 앤 어 체스트 오브 골드,로프에 의해 말에 끌려가는 자토이치 씬을 1964년 당시 기술로 어떻게 촬영했는지 보면서도 믿을수가 없다,3.5,5
자토이치: 훤화려,63년도에 저런 연출이 가능하다니 스고이,3.5,4
이너 써클,"당신은 누구를 더 사랑하나요?
물론 스탈린 동지지..
산친 왜 그랬냐?",4.0,3
리멤버,전쟁도 엄마도 사랑한테 졌다,4.0,2
컨스피러시,수백만 명의 유태인들의 운명은 1시간 남짓 되는 이들의 모임에서 결정되고 만 것이다,4.0,4
뉘른베르크,전쟁범죄를 저지른 전범자들 재판에서 특히 괴링의 유채이탈 화법과 청산가리도 과연 히틀러 심복다운 결정에 소름이 돋는다,4.0,5
세인트 루이스호의 대학살,세인트루이스 호 사건은 인도적 위기에 처한 난민들을 국제사회가 끝까지 외면하면 어떤 비극이 벌어질 수 있는지 최악의 사례로 보여주었다. ,4.0,3
카운터페이터,독일군 만행은 파도파도 끝이 없고 한가지 기술만 있어도 죽지않고 산다,3.5,3
북의 영년,인생사 새옹지마 홋카이도 흑역사,3.0,3
페라리,페라리전기에 아담이 주연이라니 어메이징하다,4.0,13
필사의 검 토리사시,이것이 진정 무사의 모습이다,4.0,2
마이 라이프,가족의 소중함은 삶에서 가장 으뜸,3.5,3
보복,복수는 아무나 할 수 있는 것이 아니다,3.0,3
빌리지,카몬무라 쓰레기 매립장에는 더 지독한 쓰레기가 살고 있었다,3.0,3
돌입하라! 아사마산장사건,어쨓든 썩쎄스,3.0,5
자토이치: 바다를 건너다,앞 못보는 자토이치는 결코 불의한 꼴을 못본다,3.5,4
남편은 보았다,64년작이라 하기에 대단한 연출과 미장센 그리고 배우들의 아우라,3.5,6
니혼바시,니혼바시의 흘러 들어온 군상들의 추억,3.0,2
히토키리,오카다 이조가 머리만 좋았어도 27세에 그냥 종치지는 않았을텐데..머리가 너무 안좋네..,3.5,5
지옥문,모리토 정말 흠없는 사무라이였는데 집착과 광기에 지옥문을 열었네,4.5,5
자토이치,65년도에 제작되었다고 믿기지 않는 세련된 액션,4.0,4
아름다운 것은 먼 곳에 있다,합리적 모험심만이 멀리있지만 언젠가는 아름다운 세상에 다가갈 수 있다,2.0,5
샤도우랜드,"""밤하늘을 올려다본다. 이 모든 광대한 시간과 공간 속에서 찾아보라고 해도 그녀의 얼굴, 그녀의 목소리, 그녀의 손길을 찾아낼 수 없다는 사실보다 더 확실한 게 어디 있겠는가? 그녀는 죽었다. 죽어버린 것이다. 그것이 그렇게 알기 어려운 말인가?”
– C. S. 루이스 ‘헤아려본 슬픔’ 중에서",4.0,4
앙코르,바람둥이에 약물중독자 ..무명이고 가난했을때가 더 보기 좋았다,3.5,5
무사의 레시피,늙은 너구리에서 비로소 하루가 되다,3.0,4
비 그치다,"사회생활하기가 이렇게 힘들어서야..

""이렇게 훌륭한 실력을 가지고도 꽃을 피울 수 없다니.
어쩜 이리도 묘한 운명인가요.
하지만, 전 이대로도 괜찮습니다.
타인을 밀어내지 않고, 타인의 자리를 빼앗지 않고,
기회가 있으면 가난하지만 진실한 분들께 기쁨과 희망을 주는 당신.
지금의 당신은 더없이 훌륭합니다!""",4.0,4
우리가 끝이야,우리가 끝이길 바라는 3모녀의 끝나지 않은 전쟁은 과연 언제 끝이 날지..,4.5,6
멋진 세계,멋진 세계를 위해 13년간 준비했으나 현실은 하나도 멋지지 않았다,3.5,3
용서받지 못한 자,클린트이스트우드를 리메이크한 죄..비교가되서 감점이된 경우,3.0,7
미스테르,"소녀의 말 문을 열개 한
말 못하는 늑대와의 교감",3.0,4
더 캐년,정신을 차린 후에야 뒤늦게 깨닫게 되는 것은 '내가 왜 그랬을까?'이다,3.0,3
페이퍼하우스,"호러, 성장영화, 판타지의 요소가 모두 가미된 이색적 영화",2.0,3
세인트,tv시리즈물보다 재미도 없고 흥행도 못했던 영화,2.5,4
프라이트너,반지의 제왕을 위한 피터젝슨의 빌드업,3.5,2
환상의 커플,골디혼의 매력이 철철 넘친다,4.0,3
오픈 그레이브,그래서 결론은?,3.0,3
런던 공습,"전쟁 중 엄마 찾아 3만리...
장르가 애매하다",3.0,5
이색지대,정말 리얼한 이색체험 그중에 최고는 죽음을 체험한 것,3.5,3
X-레이 눈을 가진 사나이,아직도 볼 수 있어 다 보인다고,4.0,2
쿼터매스 앤 더 핏,갑자기 메뚜기가 예고도 없이 불쑥 나타났다,3.0,2
구니스,꼬마들이 커서 타노스와 호빗이 될 줄이야,4.5,4
