제목,내용,평점,좋아요 수
무사의 체통,끝까지 체통을 지키는 사람이 진정한 무사,3.0,6
로스트 시티,배우 섭외력은 뛰어났으나 빈약한 스토리에 발목을 잡혔다..브래드피트처럼 아니다 싶으면 일찍 빠져 나왔어야지..,2.5,7
화이트 타이거,사람은 변하게 되어있다 좋게든 나쁘게든,3.5,8
메리 미,말도 안되게 영화에서나 가능한 로멘스,3.5,6
스펜서,이 영화를 보고도 다이에나를 부러워들 할까?,3.5,11
불도저에 탄 소녀,누가 스무살도 안된 어린 소녀의 연약한 팔에 문신을 새기게하고 불도저를 몰게 만들었나?,3.0,13
바그다드 카페 리마스터링,사막 한가운데에서 피어난 여자들만의 우정 ..그런데 야스민의 남편은 도저히 용서가 안된다.,3.0,7
미드소마,생각없이 따라가고 주는대로 받아먹은 죄가 크다,1.0,9
언차티드,인디아나존스보다 용형호제에 가까운 스파이더맨 액션,2.5,5
앰뷸런스,로봇으로 변신만 안했지 그냥 트랜스포머,2.5,8
더 배트맨,다크나이트 그 이상이 보고 싶었으나 배트맨의 다크아이쉐도우만 보이더라,3.5,13
야차,공공의적 강철중이 미션임파서블의 에단헌트를 따라했으나 열심히 싸운 설경구가 무슨 죄임? 열심히 배낀 감독이 나빴다,2.5,17
몸 값,무엇보다 러닝타임에 깜짝 놀랐다,2.5,8
할복 : 사무라이의 죽음,명예롭게 죽는것 보다 명예롭게 사는게 더 힘들고 중요한것을 사무라이들만 모르네..,3.0,11
아이언 자이언트,아이언보다 못한 인간들과 어린애보다 못한 어른들이 만든 미사일..,3.0,8
이도공간,"장국영이 ""지금까지 행복한 적이 없었다""라는 대사 할 때 왜 이리 마음이 아프냐",3.0,16
에펠,그때는 흉물이 지금은 명물이되기까지 에펠의 대단한 자신감과 용기에 박수를 보낸다,2.5,6
더 컨트랙터,원더우먼이 없이 싸워야하는 크리스파인의 다이하드,3.0,8
니트람,어디서부터 잘 못된 걸까? 그 아줌마만 만나지 않았어도..,3.0,3
문폴,구슬도 잘 꿰어야 보배,0.5,11
피그,돼지 한 마리로 깊은 철학을 가르쳐주고 케이지는 돼지 한 마리로 부활을 꿈꾼다,3.5,8
나일 강의 죽음,고전임을 감안하더라도 너무 뻔한 전개와 아마츄어 범인들,2.5,12
코다,서로 말하지 않아도 하나가 될 수 있는 이유는 단 한가지.. 가족이기 때문,4.0,14
스플릿,볼링을 소재로 했다는 것 외에는 딱히 ..,2.0,6
블랙 크랩,러시아군에도 애드같은 군인들이 나오기를..,3.0,6
폭격,폭격의 충격으로 실어증 걸린 소년과 폭격의 먼지를 뒤집어 쓴 채 슾을 퍽는 꼬마..지금도 전쟁의 참혹한 모습이 그치지 않고 재현되고 있다,4.0,11
로스트,범인의 나약함에 너무나 당황스러울 뿐,2.5,5
경관의 피,박희순은 영화 시작부터 왜 이렇게 욕을 먹나? 그들만의 작전과 진지함이라니..,2.0,5
딥 워터,"전쟁같은 사랑의 결말은 화해 아닌 타협..
그런데 아나 드 아르마스가 이렇게 연기를 잘했나?",3.0,10
윈드폴,불쌍한 정원사,2.0,10
안테벨룸,예고편을 보지말고 극장으로 오라는 이유를 알겠으나 극장엘 꼭 갈 필요는 없는것 같다,2.5,5
스크림,무섭다기 보다는 마냥 지루하다,2.0,12
007 두번 산다,자꾸 오스틴파워가 오버랩되어서 감상에 방해가 되었다는..ㅋ,2.0,2
웨스트 사이드 스토리,아무리 스필버그라도 원작을 그대로 충실히 Copy한 창의성이라고는 전혀 없는 리메이크가 성공을 할거라고 기대한다는게 이상한거지..,1.5,5
킹 리차드,비너스에게 차라리 리차드왕이 아빠였더라면..,3.5,11
해적: 도깨비 깃발,천둥치고 번개치고 파도치는 장면에도 숙면할 수 있었다니..그저 놀라울뿐,2.0,5
드라이브 마이 카,"삼촌, 우린 살아야 해요. 길고도 긴 낮과 밤을 끝까지 살아가요. 운명이 우리에게 보내주는 시련을 꾹 참아 나가는 거예요. 우리, 남들을 위해 쉬지 않고 일하기로 해요. 앞으로도, 늙어서도 그러다가 우리의 마지막 순간이 오면 우리의 죽음을 겸허히 받아들여요. 그리고 무덤 너머 저세상으로 가서 말하기로 해요. 우리의 삶이 얼마나 괴로웠는지, 우리가 얼마나 울었고 슬퍼했는지 말이에요. 그러면 하느님은 우리를 불쌍히 여겨 주실 테죠. 아, 그날이 오면, 사랑하는 삼촌, 우리는 밝고 아름다운 세상을 보게 될 거예요. 기쁜 마음으로, 이 세상에서 겪었던 우리의 슬픔을 돌아보며 따스한 미소를 짓게 될 거예요. 그리고 마침내 우린 쉴 수 있을 거예요. 나는 믿어요. 간절하게, 정말 간절하게...",3.5,15
우리 죄를 사하여 주옵소서,히틀러는 사람처럼 생겨먹은 악마일뿐이다,2.0,3
아리아 커플,"유대인이기전에 다 같은 사람이고 아리아인도 별반 다를것 없는 한낱 똑 같은 인간에 불과하거늘..
나치들은 짐승보다 못하다는것만은 확실하다",3.5,4
킹스맨: 퍼스트 에이전트,퍼스트라서 그런가? 킹스맨이라고 하기에는 민망타,2.0,6
토스트,포터부인과 아빠 그리고 나이젤.. 할수만 있다면 엄마까지 불러 한 테이블에 모여 실컷 레몬머랭파이를 같이 먹으며 진탕  이야기하고 싶다.,3.5,6
해피 아워,어떻게된게 아이고 어른이고 행복한 사람이 하나도 않나오냐?,3.0,8
나이트메어 앨리,제94회 아카데미 시상식에서 작품상을 포함해 4개 부문의 노미네이트된 감독과 배우들이 진짜 괴물이다,4.0,20
하우스 오브 구찌,"아들은 아버지 말 잘 들어야되고
남편은 조강지처 버리지 말아야되고
동업은 가족끼리 하는거 아니다",4.0,11
고독한 추적,"지겹게 반복되는 ""무슈클랭인가요?""가 차츰 숨을 죄어 오기 시작한다",3.5,6
빅 건,알랑드롱은 역시 킬러가 제격이고 라스트에선 반드시 허망하게 죽어야 제맛,3.0,7
싱크홀,이거슨 재난영화인가? 아니면 코미디영화인가? 감독이 7광구였네..,1.0,6
계속 독신으로 살거야?,도대체 누구 좋으라고 하는 결혼일까?,2.5,7
미션 파서블,그래도 나름 열심히 찍은것 같아서 욕은 못하겠다,2.0,5
뮌헨: 전쟁의 문턱에서,선견지명이 부족한데다 완고하고 순진하기까지했던 낙관주의 아서 네임 체임벌린을 쉽게 가지고 논 괴물 아돌프 히틀러..그러니 전쟁이 날 수 밖에,4.5,10
멀홀랜드 드라이브,다이엔은 현실 속 절망중에도 꿈 많았던 신인시절 베티를 그리워 했던게 아닐까?,4.0,4
푸른 호수,입양 된 것도 불법체류자가 된 것도 모두 추방으로 간단하게 해결하려는 미국의  이민정책을 보면 그렇게 인권을 강조하고 정의를 외치던 미국이 맞는지?,3.5,13
램,인간이 이기적이고 탐욕적이긴한데 그 끝은 참으로 어리석다는것이 펙트,2.5,12
서스페리아 1977,공포영화의 기본 조건을 다 갖춘 교과서,3.5,9
백조의 노래,과연 포피는 캐머린의 뜻대로 행복했을까?,3.0,11
돈 룩 업,실화가 될지도 모를 혜성을 대처하는 인간 처세술 1막1장,4.5,17
아네트,오프닝을 정말 멋지게 롱테이크로 보여준 이후 관객들을 심연에 빠뜨리다,3.5,10
유체이탈자,판타지 말고 범죄 수사물로 갔더라면..,3.0,5
이웃사촌,하필 오달수가 이의식역을 맡을게 뭐람,2.0,5
스파이더맨: 노 웨이 홈,앤드류 가필드가 떨어지는 MJ를 구하고 흐느끼던 장면이 이 영화 최고 명장면이 될 줄이야..,4.0,15
엣지 오브 다크니스,테이큰보다 진지하고 묵직하다,3.0,1
주윤발의 첩혈속집,오우삼이 감독을하고 주윤발이 성냥개비를 입에 물고 양조위가 출연해도 첩혈쌍웅은 절대 넘지 못한다,3.0,4
베놈 2: 렛 데어 비 카니지,베놈을 주인공으로 연출한것도 모자라서 시리즈로 간다는 거 자체가 무리수였다.,2.0,12
르 지땅,알랭드롱이 출연한 영화중에서 이렇게 재미없고 엉성한 영화가 있었나?,1.5,3
언포기버블,앤딩씬에서 케이티가 루스를 따뜻하게 안아 줄 때는 루스보다 내가 더 행복했다.,4.0,25
퍼스트 카우,앤딩씬에서 두사람 모두 그렇게 평안해 보일수가 없었다,4.0,8
좋은 친구들,주지훈이 멱살 잡고 친구들을 끌고간 강한 흡입력,3.0,4
매그놀리아,우리는 과거를 잊었지만 과거는 우리를 잊지 않았다. 과거의 내가 찾아와 나를 심판한다. 왜 여태 뭐하다가 죽을 때가 되어서야 정신을 차리게 되는 걸까?,4.0,8
라스트 듀얼: 최후의 결투,맷 데이먼과 아담 드라이버의 결투에서 최후 승자는 다름아닌 조디 코머다,4.0,8
파워 오브 도그,필은 마초인줄 알았으나 그냥 바지였고 피터는 약골인줄 알았지만 진정 사냥개였다,4.0,27
라스트 나잇 인 소호,안야 테일러 조이와 카메라(무빙)와의 신들린 댄스 대결이 압권,3.5,22
레드 노티스,"영화를 보는 내내 엔트랩먼트와 인디아나존스가 떠오른건 나뿐일까?
게다가 세 주인공을 보면 원더우먼, 데드풀, 분노의질주 케릭터 그대로다..
너무 식상하다...설마? 속편은 제발..",3.0,7
샹치와 텐 링즈의 전설,양조위와 양자경이 아깝다.. 양조위가 이딴 영화에 나오려고 그동안 허리우드 영화를 고사했단 말인가? 그리고 샹치 여친은 계속 따라다니는거에 질려버린다..,1.5,10
경고,절대 시간이 남아 돌지 않는다면 이 영화를 보지말것을 엄중히 경고합니다.,2.0,8
그곳에서만 빛난다,세상것들아 둘이서 그냥 사랑하고 지들끼리 살게 제발 좀 냅둬라,2.5,9
더 하더 데이 폴,서부극이라 하기엔 쓸데없이 세트가 너무 칼라풀하고 스토리는 중국영화보다도 단순하기 짝이없다.,1.5,10
더 킹: 헨리 5세,"티모시 살로메, 조엘 에저튼, 로버트 페틴슨.. 꿀조합으로 아쟁쿠르 전투씬을 정교하게 잘 재현했다. 실제 190센티가 넘는 거구인 헨리5세역이 살로메에게 어울리지 않을것 같았으나 연기력으로 몰입하게 만들었다.",4.0,12
아웃로 킹,기사도와 명예를 버리고 늑대처럼 싸운다 종으로 목숨을 부지하면서 살것인가 아니면 왕으로 백성을 구할것인가? 브레이브 하트 속편격이면서 전편을 능가한 걸작이 나왔다.,4.0,8
그린 나이트,왕관없이 명예롭게 살 것인가? 아니면 명예없이 왕관만 가지고 살 것인가?,4.0,12
토토의 천국,이제 노인이 되어버린 토마스는 한줌의 재가 되어 하늘을 날아가면서 비로소 이 땅에서 살 때에 그를 평생 그림자처럼 따라 다니며 괴롭혔던 열등감에서 해방되었기를..,4.0,10
잠든 여인,최면술이 뛰어난 박사보다 최면에 너무 빨리 잘도 걸리는 여주가 더 놀라울뿐..,2.0,8
더 포가튼 배틀,진짜 악랄하고 잔인한 사람은 여주의 어린소년인 남동생을 단 한번의 망설임이나 눈하나 깜짝하지않고 처형한 독일 장교처럼 말은 점잖고 행동은 느릿하면서 이해심 많은척 하는 것들이다..,4.0,13
말리그넌트,제임스완이 히어로물을 찍더니 이제는 창작에 한계가 왔는지.. 공포물을 넘어 링과 스크림 그리고 마녀와 존윅에서 이것 저것 빌려다가 죄다 섞어 만든 장르가 되어 더욱 안무서운 영화가 되어버렸다.,3.0,12
자칼,FBI 다 합쳐도 어찌하여 범죄자 디클렌 멀퀸 하나보다 못하냐..멀퀸은 거의 점쟁이 수준..,3.0,2
듄,압도적인 비주얼로 관객들을 주눅들게 만들다..,4.0,20
비스티 보이즈,그들만의 리그..역쉬 사람은 절대 변하지 않는거고 사람은 고쳐 쓰는거 아니다..,3.5,8
모가디슈,"한국영화의 발전, 배우들의 힘, 류승완 감독의 진화.. 류감독이 머지않아 화려하게 헐리우드에 입성할 날을 손꼽아 기다려본다..",3.5,12
좋은 사람,"세상에 좋은 아빠, 좋은 남편, 좋은 선생님, 좋은 사람으로 살아 남기란 ..책임을 다하며 사는 것..그런 점에서 경석은 책임을 다하지 못하고 결국 가정도 떠나고 학교도 떠나는 ..결국 사람으로는 좋으나 책임감의 문제가 ..",3.5,7
레베카,세상에 행운이 주는데 그만한 이유가 있고.. 얻는게 있으면 잃는것도..레베카의 상실로 인해 더 커진 그림자,3.0,6
숀펜의 헬스 키친,"에디 해리스, 숀펜, 게리올드만이 모여 이름값을 했네 ..당시는 몰랐으나 후에 홍콩영화 느와르 감독들에게  영감을 있게 해 준 교과서였네..영웅본색, 무간도, 첩혈쌍웅..",4.0,8
크라이 마초,마초 원조 클린트이스트우드다..뭔 말들이 많을까? 그냥 머리 조아리고들 봐라..마초남에게 치킨 바비큐되지 않으려면..,3.0,11
이키루,"영화 속 시청 직원들의 대화 중 ""자네는 휴가도 가지 않나? 시청에 꼭 필요한 사람인가보군."" ""아뇨, 제가 없어도 된다는 사실이 알려질까 두려워서죠."" 그들은 없어져도 되는 삶을 사는 동시에 불안한 삶을 살고있다.
과연 그것을 삶이라고 할 수 있을까? ",4.0,9
스틸워터,"토마스 맥카시 감독과 연기파 배우 맷 데이먼의 만남만으로도 이 영화는 값어치가 있다. 맷 데이먼 최고의 퍼포먼스.. 올해 강력한 아카데미 작품상, 남우주연상 후보 ..""인생은 잔인한거야""",4.0,17
007 스펙터,카지노 로얄에서의 베스퍼 린드의 아픔과 상처를 치료 해 줄 메들린 스완과 제임스 본드의 사랑의 서막이 시작되고 다니엘 크레이그의 007 마지막 다음편은 종합선물 세트처럼 모든 장르가 다 들어가 있을 것으로 기대,3.5,6
007 스카이폴,그동안 역대 007 제임스 본드 역을 맡았던 배우들에게는 볼 수 없었던 007 의 인간적인 힘과 능력 의지의 한계를 보여줄 수 있었던 것은 순전히 다니엘 크레이그의 연기력이었기에 가능,4.0,8
더 길티,제이크 질렌한의 연기가  있었기에 가능한 영화..영화 보는 내내 조 베일러를 힘들게 했던것은 전화받는 격무도 업무에 대한 스트레스도 아닌 죄책감이었다...,3.0,31
007 노 타임 투 다이,"부제로 노타임 투 다이(No Time To Die) 죽을 시간이 없다, 죽기에는 시간이 없다, 죽을 때가 아니다..라면서.. 왜? 마지막에 그랬어요?..아무튼 그동안 고마웠어 다니엘...안녕 제임스 본드..",4.0,18
세이빙 미스터 우,"이 영화는 실화에 치중해서 그런지 리메이크 된 ""인질""에 비해 한 없이 모든 면에서 약하다 유덕화 vs 황정민 승",2.0,5
인질,오로지 황정민 원톱만으로 끌고 갈 수 있는 천만배우의 힘이 무엇인지 확실히 보여주었다..,3.0,10
아버지는 산을 움직인다,"전처와 후처 사이에서 갈팡질팡하다가 시간 다 보내고..구조대와 대립각으로 구조 망치고..도대체 이 영화 제목이 왜 ""아버지가 산을 움직인다""인지 알것 같다..아버지는 돈으로 산을 움직이려 했으나 산은 한마디 말없이 의연하기만 했다..아버지는 산에게 시위라도 하듯 계속 삽질만 해댔다..",2.5,9
남매의 여름밤,한 여름밤 모기장에서 옥주와 동주가 꾼 꿈은 과연 무엇이었을까? 그들도 어른이 되면 아빠와 고모처럼 꿈을 잃어버리고 살지는 않을까 두렵다..,4.0,11
적벽대전 2부 - 최후의 결전,라스트 씬에서 조조와 대치 장면은 마치 첩혈쌍웅을 그대로 옮겨 놓은듯..전투씬은 과유불급이고 쓸데 없는 장면이 너무 많다..,2.0,2
드라이,영화를 보는 내내 마음이 드라이하다 못해 타들어만 가고.. 에릭바나한테 또 쏙았다...,2.5,7
랑종,곡성을 기대한 순진한 관객들의 심리를 이용한 얄팍한 감독의 상술이 더 무섭고 아무것도 아닌 영화에 놀아난것 같아 불쾌하고 괘씸하기까지하다..,0.5,9
올드,M 나이트 샤말란 감독은 더 이상 영화 만들지 말고 드라마나 찍어야  할듯..도대체 식스센스는 어떻게하다 만든걸까?,1.5,13
케이트,존윅에 영감을 얻어 존윅처럼 따라했었지만 존윅이 절대 될 수 없었던 슬픈 영화,1.5,9
무신 : 용의 귀환,삼국지를 무협물로 만들어서 영웅호걸들의 기품을 잃게 만들어 버렸고 아마 감독은 어벤져스를 만들고 싶었던듯..,2.5,7
와일드 테일즈—참을 수 없는 순간,누구나 한번쯤은 생각하지만 시도해보지 못 한 일들,3.0,7
실랏 : 옹박의 후예,글쎄 다 됐고 좋은 말로 할때 옹박이나 다시 데려와,1.5,5
명검,그렇게 원하던 검객 고수를 어렵사리 찾아 결투 후 얻게된 것은 명검도 명예도 아닌 무기력과 우울증이라니..,2.5,5
맨 인 더 다크 2,전편보다 노인의 노쇠해진 타격감은 이해하겠는데.. 홈그라운드도 아닌 원정경기에 가서도 눈 뜬 악당들을 털어버리고 뒤늦게 은혜갚는 도그는 눈물이 날 지경..설마 피니시가 들어간 아동보호소에 강도들이 찾아오는 3편이 아니길..,3.0,15
고독한 늑대의 피: 레벨 2,아무리 레벨2라지만 총맞고 칼맞고해도 도대채가 죽지를않아..액션이 리얼리티가 아쉽지만 이만하면 속편으로는 성공..앤딩을 늑대로 마무리한것은 굿..3편은 없을 듯..,3.5,9
스웹트 어웨이,가이리치 감독이 만든 영화라서 놀라고 마돈나인줄 모르고 봤다가 놀라고 이걸 끝까지 본 내 자신에게 놀란 영화.,1.0,7
고독한 늑대의 피,야쿠쇼 코지가 고독한 늑대로 선방했지만 한국 느와르에 비해 중량감이 떨어진다..야쿠쇼가 없는 속편을 봐야될찌 망설여진다..,3.5,6
암살자들,자국민을 구하는데 있어서 인도네시아 보다 못한 ..할 수 없이 뒤늦게 마지못해 협상에 나 섰던 나쁜 베트남 정부.. 강자에게 약하고 약자에게 강했던 그래서 순진했다기보다 너무나 멍청했던 어린애들에게 뒤집어 씌우려한 제일 비겁하고 나쁜 말레이지아 ..그 중에서도 제일 갑은 북한 패륜전문 김정은이라 하겠다,4.0,20
양자경의 스턴트 우먼,양자경의 액션과 연기력 말고는 모두 쓰레기..,1.0,8
그리고 삶은 계속된다,"지진과 복구, 죽음과 삶 가운데에서도 그들은 다시 그들을 갈라놓은 그 땅 위에서.. 그리고 삶은 시작된다..",3.0,8
천장지구,유덕화 아우라는 지금도 여전하고 오맹달 오버스러움은 한결같으나 지금은 볼 수 없는 오맹달..,3.0,10
노크 노크,키아누리브스가 땅속에 묻혀 머리만 내민채로 찌질하게 울고있다..그것도 두명의 어린 불량소녀들에게 살려달라면서..키아누야 왜 그랬니?,2.0,9
이스케이프,급박한 상황인건 알겠으나 아이를 던진다고 던져지나? 공도 아니고..  갑자기 나타났다 임무완수 하고 승천하신 피어스 부론스넌은 너무 생뚱맞고.. 본드역을 무색케하는 가장의 현란한 아빠 총기액션은 더 황당의 극치로 치닫는다..,1.5,7
더 풀,여자가 남자 잘 못 만나면 개고생한다는 아주 교육적인 영화..악어는 이유없이 맞아 죽어야했고 개는 주인이 오라고 해서 간것 뿐인데 두번 죽어야 했으며 여친은 도대체 몇 번을 죽다 살아 나야만 했는지...남주가 확실한건 머리가 정말 빠가사리라는거..,2.0,8
소리도 없이,11살 초희는 나이만 어릴 뿐 어린애가 아니었으며 태인과 창복은 땅만 잘 팔 뿐 악인이 못 되었으며 이 영화는 여러 범죄를 다루고 있으나 무섭기 보다 웃프다..,3.5,14
무인도의 열정,기세가 등등하게 연일 싸다구를 날리던 마초같은 남자를 울리게 한 건 결국 마님이었으니..,3.0,10
레미니센스,"과거 메이와의 추억속에 잠기어 편안한 모습으로 누워만 있는 닉은 과연 행복한 걸까? 물에 잠긴 도시와 같이 미래에 대한 두려움과 현실부정에 대한 탈출구는 과거, 추억, 꿈에서 깨어나지 않는 수밖에..",3.0,7
컴 앤 씨,인간의 폭력적인 본능에 의한 동물과 다를 바 없는 잔인무도함 속에 소년과 관객들은 서서히 미쳐만 간다..,4.0,9
야쿠자와 가족,지워지지 않는 캔지의 문신처럼 중간보스가 되어서도 꼬맹이 캔지로 불렸던 것처럼 야쿠자의 낙인은 절대 지워지지 않았을뿐더러 결국은 야쿠자의 어둡고 깊은 그늘에서 바다속으로 빨려 갔다..,4.0,5
언힌지드,도대체 경찰들은 왜 현실에서나 영화에서 딱히 도움이 안되는건지..러셀크로우 솟아오른 배를 보고 놀랐다..살찌니까 악당역이 되어 버렸네..,3.0,6
내가 죽기 전에 가장 듣고 싶은 말,"""앞으로 아주 크게 자빠져""
""어마어마하게 실패해""
""네 인생은 시작도 안했어""
""네가 이끌어라 그들이   따라 올것이다""
""조빵새..""ㅋ",4.0,8
비와 당신의 이야기,너무나 비현실적이고 무모해서 더 슬프다..감독은 명분과 개연성을 포기하고도 흥행하길 기대한걸까?,2.5,7
썬더 포스,설마 속편을 준비하는 것은 아니겠지?.. 그녀들의 몸짖만큼이나 그녀들만이 스트레스 풀며 신나게 찍었을것 같은 영화..엔딩 씬은 역대급 충격적..,2.0,5
수호전지영웅본색,노지심 임충 이름만 갔다 쓰고는 내용이 없다.,2.5,7
요짐보,61년 제작 영화인데 지금봐도 재밌다..흑백인데도 재밌다.. 구로사와 아키로 그리고 미후네 후시로..더 이상 사무라이 영화는 없다,4.0,10
아만다 녹스,진짜 여우는 언론이고 수사관은 여우보다 더 나쁘고 대중은 여우보다 더 못됬다,3.0,11
다크 시티,제니퍼 코넬리의 리즈시절을 볼 수 있고 탄탄한 연출과 시나리오로 SF의 레전드라하겠다.,4.0,9
귀를 기울이면,영화를 본 이후 계속 귀를 기울이지 않아도 나도 모르게 컨트리로드~ 노래가 나오게 만든 나의 중딩 시절이 그립다..,3.5,13
더 수어사이드 스쿼드,제임스 건 감독의 개그 코드와 백음악이 이번에도 효과를 봤다. 할리퀸의 액션 장면에서 유혈이 낭자한 씬대신 꽃이 빵 터지는 씬은 참신했다,3.0,12
577 프로젝트,하정우보다 공효진이닷,2.5,4
고양이의 보은,아이들에게 못말리는 짱구를 지워버린 하루의 일탈을 통해 순수한 동심으로 만들어 준 순수동화,3.5,6
베킷,부족한 내용과 액션을 존데이비드 연기가 중심을 잡아주면서 겨우 버텨나간다..사람 심리라는게 약 먹고 스스로 죽으려고 하다가도 누가 대신 죽이려들면 이거슨 아니지하며 본능적으로 죽기살기로 도망가게 되어 있다.,3.0,34
죽을 때까지,끝날때까지 끝난게 아닌것처럼 죽을때까진 끝난게 아니다...시체역 배우에 남우조연상을 조심스럽게 추천해 봅니다.,3.0,9
강철비2: 정상회담,이 영화의 함정은 현실과 너무나도 다른 인물들의 재배치...영화 장면내내 마치 대통령은 평화통일을 위해 이렇게 개고생하는데 도대체 국민들은 통일하고 싶기는 하냐고 묻는것 같다..,1.0,5
소림천하: 제국의 부활,고갈된 소재인 소림사를 끌어들여 관객들에게 감동 재미 교훈을 다 주려했지만 관객들은 오히려 화만 나게 한 졸작..오맹달의 유작이라 더 화가 난다.,2.0,7
방법: 재차의,이 세상에는 도움이 필요한 힘없는 불쌍한 사람과 도와 줄 필요 가치가 없는 인면수심의 사람이 존재한다,3.0,9
홀로코스트:소비보르탈출,유태인들은 지금도 모세를 찾고 있다 그들의 모든것을 잔혹하게 빼앗었던 독일장교들은 죽음으로도 용서가 안된다,3.5,7
나이트 플라이트,좋은 배우들과 각본의 힘으로 요즘 CG가 난무하는 영화보다 백배낫다.,3.5,10
더 스웜,메뚜기도 한 철이라는데 이 영화에 나오는 메뚜기들은 한시간을 못버텨주네..너희들이 피맛을 알어? 이 영화의 패착은 메뚜기들이 너무 착했다..,2.0,10
바람의 검심 최종장: 더 비기닝,소중한 사람이 있다면서 좀비도 아니고 실력도 안되면서..왜 자꾸 일어나니? 그래서 더 비기닝이니?,3.0,6
영웅문,빠른 전개와 장국영과 옹정정 그리고 대머리독수리.. 모든게 부족하다기보다 그립다,3.0,6
정글 크루즈,영화를 볼수록 인디아나존스가 얼마나 잘 만들었는지 다시한번 알게 해 준 영화,2.0,10
분노의 질주: 더 얼티메이트,억지로 짜낸 스토리야 그렇다 치더라도 ..무분별한 말도 안되는 CG  남발이 관객들을 분노케 한다..이럴거면 차타고 다니는 어벤져스라 해도 무방할 듯...도대체 애네들 분노는 언제 사라지는건지..이젠 분노하지 안하도 될것 같은데..,2.0,12
블러드 레드 스카이,조합은 충분히 흥미로웠지만 ..무슨 어린애가 좀비떼와 특수부대를 합친거보다 더 대단하게 설정을 해 놓았을까? 부산행이 정말 잘 만든 영화임을 증명해 준 영화에 그침,2.0,5
킹덤: 아신전,연출과 배우들의 연기에 비해 ..특히 무명배우들 (좀비들)의 열연에 비해 시나리오가 너무나 기다린 시간과 기대에 비해  초라하기 짝이 그지없다...김은희 작가가 고민하지 않았구만..,1.5,14
내일의 전쟁,"에이리언, 터미네이터, 인디펜덴스 데이, 쥬라기공룡, 인터스텔라 ..이것 저것 어디서 본것들 죄다 생각나는대로 다 집어 넣은 블록버스터급이긴 하지만 ..확실한건 B급 킬링타임용이라는 거..",3.0,12
콜로니: 지구 귀환 프로젝트,관객들은 인류생존을 위해 싸우는것을 경험하기 전에 영화상영 시간 내내 쏟아지는 졸리움과 싸우는 처절한 경험을 하게 될 것이다.,2.0,10
바람의 검심 최종장: 더 파이널,만화영화로 시작해서 여기까지 끌고 온 그들의 열정에 박수를 보낸다. 유일하게 실사영화중 성공한 사례이기에 나름 가치가 있다,3.0,7
사라진 소녀들,"소녀들 대신 매춘부, 성노동자로 불리어진.. 죽어서도 그들에게 인권은 없었다. 왜 경찰들은 신고를 받고도 1시간 뒤에 나타나야 했으며 5년이 지난 지금도 왜 단 1명도 기소조차 못한 것일까? 과연 그들은 이 사건을 해결할 의지는 있기나 한걸까?",2.5,8
새,63년도에 새를 주제로 영화를 찍으려 생각조차라도 한 감독이 과연 있기나 했을까?,3.0,8
블랙 위도우,연기파 배우 레이첼바이스와 스칼렛요한스 데리고 모한겨? 세대교체는 차지하고라도 솔찍히 어벤져스는 이제 그만 찍자,2.5,11
크루엘라,"난 이런걸 하려고 태어난게 아니야
날 위해 건배
천재가 천재를 알아보는 법
잘가 에스텔라 난 이제 크루엘라야
악녀인줄로만 알았던 크루엘라의 자수성가 이야기로 감동을 주다니 아직 디즈니 살아있네~",3.5,16
다크 앤드 위키드,역대 오컬트 영화중에서 가장 악마를 잘 표현한 작품이라고 생각하며 그 중에서 마이클이 마지막 선택한 이후의 벌어진 장면과 무엇보다 가장 큰 공포는 아버지를 떠나 보내고 홀로 남게된것에  대한 여주의 공포...악마는 동기도 명분도 없이 사정없이 들이댄다는 교훈을 남겼다.,3.5,10
아이스 로드,나름 소재도 신선했고 괜찮다고 생각하며 좋게 감상하다 종반부로 가면서 무슨 악당역이 죽지도 않고 거의 인디아나존스 수준의 불사조같은 존재에 동생은 거기서 죽을 상황이 아닌데..굳이...그렇게 찡겨 가야만 했냐!,2.5,18
제8일의 밤,이성민 배우가 열일 다했고 감독은 반전도 넣고 싶었고 곡성을 따라잡고 싶었으나 시청자들은 무서워 놀라기보다 오히려 어이없는 장면 때문에 공포영화를 보고도 웃다만 영화,1.5,10
더 도어,인간의 탐욕의 끝은 어둡고 긴 터널을 지나도 끝이 없다.,3.5,5
콰이어트 플레이스 2,1편에서 죽은 남편대신 명배우 킬리언 머피를 불러들여 괴물에게 당해 가족수가 줄어들은 에밀리 블런트에게 힘을 더해주니 영화전개에 전화위복이 된 셈,2.5,12
사라진 시간,조진웅이 아니었으면 보지도 않았을 영화..축구처럼 전반전과 후반전으로 완전히 나누어지는 영화..이 영화를 보고 내 귀중한 시간도 사라졌다.,2.5,10
아메리칸 머더: 이웃집 살인 사건,무슨 극악무도한 살인범을 취조하는데 아기 다루듯이하누? 재판중 다리 떠는거 보고 내린 나의 결 론은 이건 사람새끼아니다,3.0,9
캐시트럭: 그 남자의 분노,제이슨 스타뎀이 현란한 발차기와 주먹질 대신 총질만 신나게 해댄 지루했던 장면도 그렇고 가족들을 구하거나 원수 갚는게 요즘 세계화냐?,2.5,12
컨저링 3: 악마가 시켰다,"새로운 감독의 의욕 과다로 인해 오컬트 호러, 멜로드라마, 스릴러를 뒤범벅으로 이도저도 아닌 어정쩡한 영화가 되었어...차라리 놀래키기라도 좀 하지...",2.0,7
