제목,내용,평점,좋아요 수
희생,타르코프스키가 되돌려 멈춰선 자리에 돋아난 가능성의 무성한 잎들.,5.0,300
리볼버,받아야 할 돈이 범죄영화의 클리셰나 맥거핀이 아니라 가장 중요한 약속인 이야기를 대하는 신선함.,3.0,247
이오 카피타노,그 여정의 쓰라림과 간절함이 고스란히.,3.0,101
더 원더스,"빈 하늘을 떠돌다 꿀 한 모금 겨우 머금고 돌아오던, 그 많은 벌들은 다 어디로 갔을까.",4.0,164
파일럿,호흡 짧은 드라마에 산발적인 개그다발.,2.5,278
데드풀과 울버린,"인수합병에 대한 재치있는 비즈니스영화, 경혈을 찾아 침을 놓아가며 갈증을 잠시 해결해주는 팬서비스무비.",3.0,496
엄마의 왕국,묻어둔 비밀의 웅얼대는 귀환.,2.5,87
진주의 진주,사라져가는 것들에 대해 그저 안타까운 마음만 연이어 드러낼 뿐.,2.0,90
플라이 미 투 더 문,잘 알려진 음모론 소재에 영화와 현실의 두 가지 관계에 대한 숙고와 선언을 선명하게 담아냈다.,3.5,192
러브 라이즈 블리딩,피 땀 눈물 혹은 달콤한 파멸의 로맨티시즘.,3.0,172
퍼펙트 데이즈,다른 모든 순간과 비슷하게 보이는 단 하나의 순간들로 일렁이는 온전한 나날들.,4.0,683
탈주,작고 엉뚱한 아이디어들의 매력이 정처없고 느닷없이 흐르는 서사에 함몰되었다.,2.5,310
태풍 클럽,생의 그 어떤 울타리에도 가둬지지 않는 원시적 에너지의 분출을 그저 바라보았다.,4.0,252
우리와 상관없이,두 세계 사이의 틈새에서 미끄러지며 혼곤히 배회하는 유령처럼.,3.0,89
프렌치 수프,요리에 삶과 사랑을 섣불리 견주는 대신 주방과 식탁의 그 모든 넘실대는 풍경들로 충만하게.,3.5,188
프리실라,광장의 사랑과 밀실의 고독 사이에서 홀로 휘어진 마음의 점묘화.,3.0,116
인사이드 아웃 2,그 모든 게 나였다 그 전부가 세월이었다 하나도 남김없이.,3.5,2982
존 오브 인터레스트,"이미 다 소화해버린 악에 대하여, 체온으로만 볼 수 있는 선에 관하여.",5.0,2248
원더랜드,‘가족의 탄생’과 ‘만추’ 뒤에 놓일 작품을 오랜 기다림 끝에 보고 난 후의 당혹감과 의문들.,2.5,392
찬란한 내일로,삶보다 큰 영화를 긴 세월 꿈꿔온 사람의 마르지 않는 열정과 웃음.,3.5,146
드림 시나리오,시대의 악몽을 현란하게 누비는 착상과 감각.,3.5,184
정욕,땅거미 질 무렵 늪 한가운데서 들려오는 함께 있을 거란 다짐의 낮은 목소리.,3.0,120
퓨리오사: 매드맥스 사가,인물의 변화와 세계의 작동원리가 고스란히 담긴 기념비적 액션장면들의 연쇄.,4.5,964
"낸 골딘, 모든 아름다움과 유혈사태",실천하는 삶의 예술과 투쟁하는 예술가의 삶이 뜨겁게 어우러졌다.,3.5,127
그녀가 죽었다,부적절한 톤의 내레이션이 몰입과 주제의식을 약화시킨다.,2.5,190
혹성탈출: 새로운 시대,무엇을 어떻게 계승할 것인지에 대한 숙고가 담긴 품격 높은 블록버스터의 재래.,3.5,307
악마와의 토크쇼,시대적 맥락과 매체의 특성에 토대해 시공간적 제한을 재치있게 활용한다.,3.0,379
힙노시스: LP 커버의 전설,섬광 같은 재능으로 빛을 뿜었던 두 가지 우정 이야기에 담긴 영광과 애수.,3.5,119
챌린저스,그 경기와 영화 전체가 온전한 충족을 향해 질주하는 한 차례의 베드신.,4.0,588
여행자의 필요,느슨하고 한계 많은 소통 속에서 한없이 투명해지려는 영화를 보았다.,3.5,172
범죄도시4,익숙함에서 진부함으로 넘어가는 고개 너머에서 뚝딱.,2.5,430
모르는 이야기,모르겠습니다.,2.0,331
돌들이 말할 때까지,그 바다와 산과 바람과 돌들에 서린 피맺힌 증언.,3.5,97
정순,설렘과 절망에서 분노와 결기까지 김금순의 선명한 얼굴들.,3.0,91
위대한 히트,끊임없이 틈입하는 추억의 속성이 신선한 아이디어와 성숙한 시선에 담겼다.,3.5,92
쿵푸팬더 4,"푸바오도 가고, 쿵푸팬더도 가고.",2.5,403
골드핑거,솔깃한 소재를 그저 현란하게 늘어놓는다.,2.5,89
키메라,묻혀버린 시원의 향수와 사라져버린 고전의 향취를 희구하는 몽환의 발걸음.,3.5,134
악은 존재하지 않는다,"나무와 사슴과 인간의 생사, 선과 악의 범주 자체에서 눈을 돌려 그 막막한 숲을 끝도 없이 올려다보면.",4.5,458
댓글부대,시대의 탁류 속으로 거침없이 뛰어든다.,3.0,279
조용한 이주,벌판의 구덩이 같은 세계에 던져진 외로운 돌덩이 같은 존재의 점멸과 진동.,3.5,118
로봇 드림,흘러가되 떠내려가진 않게 만드는 추억들이 애틋하게 방울방울 .,4.0,670
메이 디셈버,"되묻지 않았던 것들의 선득한 귀환, 의심하지 않았던 판단의 앙상한 잔해.",4.0,252
밥 말리: 원 러브,풍요롭게 넘실대는 밥 말리의 음악이 어떤 험난한 파도에 대한 대응이었는지를 또렷이 보여준다.,3.0,105
돌핀,그 마음을 들여다볼 수 있으면 좋으련만.,2.5,78
레이징 그레이스,강렬한 사회드라마를 희석시킨 흔한 호러 기법의 남용.,2.5,71
가여운 것들,부끄러움을 강요하는 집들을 차례로 벗어난 후 자신만의 거처를 마련하는 자의 기기묘묘한 주유천하.,3.5,557
패스트 라이브즈,우리를 자꾸 되돌아가게 만드는 건 첫사랑이 아니라 아직 손 흔들어 떠나보내지 못한 그 시절 자체.,4.0,1401
듄: 파트2,한 방울도 헛되이 흘리지 않는 영화의 지독한 세공력과 우아한 보법.,4.0,1180
막걸리가 알려줄거야,상상력도 이쯤 되면 거의 시리우스급.,3.5,187
